DATE,TIME,PLACE,AMOUNT,ACCOUNT,EXPENSE,CATEGORY,TAGS,NOTE
01-09-16,08:51 AM,VEGIES,18,CASH Spends,Yes,GROCERIES,,
01-09-16,02:29 PM,RAZORPAY PAYMENTS,500,CitiBank credit 4456,Yes,INVESTMENT,#Online,Zerodha
01-09-16,07:14 PM,ELITE SUPERMARKET,396,CitiBank credit 4456,Yes,GROCERIES,,
03-09-16,09:14 AM,BLOOD TEST,360,CASH Spends,Yes,HEALTH,,
03-09-16,11:08 PM,FOOD,102,CASH Spends,Yes,FOOD & DRINKS,,
04-09-16,10:00 AM,TIPS,30,CASH Spends,Yes,FOOD & DRINKS,,
04-09-16,01:22 PM,SUNNY SILKS2,"3,506",CitiBank credit 4456,Yes,SHOPPING,,
04-09-16,01:50 PM,PITTAPPILLIL AGENCIES,"4,900",CitiBank credit 4456,Yes,SHOPPING,,
04-09-16,02:44 PM,HOTEL RUKMINI A UNIT,460,CitiBank credit 4456,Yes,FOOD & DRINKS,,
05-09-16,10:01 AM,RFID CARD,250,CASH Spends,Yes,BILLS,,
05-09-16,12:00 PM,BIKE EMI,"3,509",CASH Spends,Yes,EMI,,
05-09-16,04:34 PM,INTERNET,"1,045",CASH Spends,Yes,BILLS,,
05-09-16,04:34 PM,SHUTTLE COCK,650,CASH Spends,Yes,HEALTH,,
06-09-16,05:39 AM,DCSIDOCOMOCD,29,HDFC debit 3801,Yes,BILLS,,
06-09-16,07:54 PM,ELITE SUPERMARKET,"1,185",HDFC credit 2721,Yes,GROCERIES,,
07-09-16,01:30 PM,AMAZON,419,HDFC debit 3801,Yes,SHOPPING,#Online,
08-09-16,12:00 PM,PARKIG,20,CASH Spends,Yes,ENTERTAINMENT,,
08-09-16,12:00 PM,SNACKS,110,CASH Spends,Yes,ENTERTAINMENT,,
08-09-16,02:41 PM,BOOKMYSHOW,270,CASH Spends,Yes,ENTERTAINMENT,,
08-09-16,03:55 PM,"TATA DOCOMO CDMA, KERALA BILL - ACCOUNT 9287220106",29,HDFC  Bill payments,No,BILLS,,
09-09-16,12:00 PM,TOLL,65,CASH Spends,Yes,TRAVEL,,
09-09-16,08:33 PM,KRISHNA PURE VEG HOTEL,270,HDFC credit 2721,Yes,FOOD & DRINKS,,
10-09-16,10:46 AM,ATM,"2,000",CitiBank debit 8448,No,,,
10-09-16,10:56 AM,MED,525,CASH Spends,Yes,HEALTH,,
10-09-16,10:56 AM,DOCTOR CHECK,200,CASH Spends,Yes,HEALTH,,
10-09-16,05:50 PM,FISH,200,CASH Spends,Yes,GROCERIES,,
10-09-16,05:53 PM,MULLA POOV,30,CASH Spends,Yes,SHOPPING,,
11-09-16,08:19 AM,FISH,422,CASH Spends,Yes,GROCERIES,,
11-09-16,08:01 PM,MOVIE,220,CASH Spends,Yes,ENTERTAINMENT,,
11-09-16,10:17 PM,SNACKS,460,CASH Spends,Yes,GROCERIES,,
12-09-16,11:06 AM,PETROL,500,CASH Spends,Yes,FUEL,,
12-09-16,11:06 AM,TOLL,65,CASH Spends,Yes,TRAVEL,,
13-09-16,09:00 AM,MAID ADVANCE,"1,500",CASH Spends,Yes,BILLS,,
13-09-16,12:00 PM,RELIANCE,574,CASH Spends,Yes,MOBILE BILLS,,
13-09-16,12:00 PM,TOPUP,150,CASH Spends,Yes,MOBILE BILLS,,
13-09-16,12:00 PM,VEGIS AND MILK,190,CASH Spends,Yes,GROCERIES,,
14-09-16,06:44 PM,BOOKMYSHOW,280,CASH Spends,Yes,ENTERTAINMENT,,
15-09-16,08:25 AM,NET,279,CASH Spends,Yes,MOBILE BILLS,,
15-09-16,08:55 AM,VEG,35,CASH Spends,Yes,GROCERIES,,
15-09-16,03:30 PM,NET BANKING,"2,500",HDFC  5463,No,INVESTMENT,,an online payment
15-09-16,07:38 PM,ELITE SUPERMARKET,926,HDFC credit 2721,Yes,GROCERIES,,
16-09-16,10:08 AM,ATM,"2,000",CitiBank debit 8448,No,,,
16-09-16,11:15 AM,FISH,340,CASH Spends,Yes,GROCERIES,,
16-09-16,12:47 PM,MOBILE,73,CASH Spends,Yes,MOBILE BILLS,,
16-09-16,12:56 PM,MOBIK OFFER,10,CASH Spends,Yes,OFFER BENEFITS,,
16-09-16,12:57 PM,FULL TACLKTIME,58,CASH Spends,Yes,OFFER BENEFITS,,
16-09-16,01:35 PM,NET BANKING,500,HDFC  5463,No,INVESTMENT,,TPT
17-09-16,12:00 PM,TRAVEL,27,CASH Spends,Yes,TRAVEL,,
18-09-16,08:10 AM,TOLL,65,CASH Spends,Yes,TRAVEL,,
18-09-16,08:30 AM,BEEF,150,CASH Spends,Yes,GROCERIES,,
18-09-16,12:39 PM,DATA,93,CASH Spends,Yes,MOBILE BILLS,,
18-09-16,07:42 PM,ELITE SUPERMARKET,690,HDFC credit 2721,Yes,GROCERIES,,
21-09-16,07:26 PM,ELITE SUPERMARKET,541,HDFC credit 2721,Yes,GROCERIES,,
22-09-16,12:00 PM,TRAVEL,45,CASH Spends,Yes,TRAVEL,,
22-09-16,09:15 PM,BRD CAR WORLD LTD,"7,790",CitiBank credit 4456,Yes,TRAVEL,,
22-09-16,09:16 PM,PETROMOTEL,"2,300",CitiBank credit 4456,Yes,FUEL,,
24-09-16,06:02 PM,FRESH AND MORE SUPER,305.89,CitiBank credit 4456,Yes,GROCERIES,,
24-09-16,07:48 PM,TINY MARGIN FREE,440,CASH Spends,Yes,GROCERIES,,
27-09-16,09:02 AM,TOLL,65,CASH Spends,Yes,TRAVEL,,
27-09-16,09:02 AM,VEGI,63,CASH Spends,Yes,GROCERIES,,
27-09-16,12:43 PM,HDFC LIFE,"7,353",CitiBank credit 4456,Yes,HEALTH,,
30-09-16,09:51 AM,SPENT MAINTENENCE,"2,034",StanC credit 1570,Yes,BILLS,,
30-09-16,12:00 PM,RENT,"10,000",CASH Spends,Yes,BILLS,,
01-10-16,08:42 AM,NET BANKING,"5,000",HDFC  5463,No,INVESTMENT,,TPT
01-10-16,09:30 AM,ATM,"2,000",CitiBank debit 8448,No,,,
